Id,WorkoutId,HorseId,WorkoutTypeId,Distance,WorkoutDistanceTypeId,Minutes,Seconds,Fifths,Comment,CreatedAt
130469,912,20120019,21,5.0,3.0,1.0,1.0,3.0,"RIDDEN, 1ST. 4F 480",2023-03-18 17:30:05
130470,912,20200825,14,0.0,,,,,,2023-03-18 17:30:23
130471,912,20200714,24,0.0,,,,,,2023-03-18 17:30:35
130472,912,20181458,14,0.0,,,,,,2023-03-18 17:30:49
130473,913,20180633,24,0.0,,,,,,2023-03-19 06:10:12
130474,913,20142302,24,0.0,,,,,,2023-03-19 06:10:48
130475,913,20190368,24,0.0,,,,,,2023-03-19 06:10:59
130476,913,20190919,14,0.0,,,,,,2023-03-19 06:11:10
130477,913,20192004,24,0.0,,,,,,2023-03-19 06:11:19
130478,913,20201660,24,0.0,,,,,,2023-03-19 06:11:30
130479,913,20190439,24,0.0,,,,,,2023-03-19 06:11:45
130480,913,20160399,24,0.0,,,,,,2023-03-19 06:11:54
130481,913,20201024,14,0.0,,,,,,2023-03-19 06:12:06
130482,913,20182157,24,0.0,,,,,,2023-03-19 06:12:24
130483,913,20182531,24,0.0,,,,,,2023-03-19 06:12:42
130484,913,20201680,24,0.0,,,,,,2023-03-19 06:13:00
130485,913,20201115,24,0.0,,,,,,2023-03-19 06:13:11
130486,913,20200294,1,0.0,1.0,,,,,2023-03-19 06:13:27
130487,913,20190722,14,0.0,,,,,,2023-03-19 06:13:48
130488,913,20181201,2,2.0,,,24.0,2.0,,2023-03-19 06:14:08
130489,913,20203311,24,0.0,,,,,,2023-03-19 06:14:25
130490,913,20203124,25,0.0,,,,,,2023-03-19 06:14:37
130491,913,20200714,24,0.0,,,,,,2023-03-19 06:14:47
130492,913,20181554,2,5.5,,1.0,9.0,,"RIDDEN, LAST 5F 1020 WITH CURLIN'S AFFAIR",2023-03-19 06:15:57
130493,913,20181074,2,5.5,,1.0,9.0,,"RIDDEN, LAST 5F 1020 WITH NUCLEAR NOON",2023-03-19 06:17:17
130494,913,20200198,24,0.0,,,,,,2023-03-19 06:17:32
130495,913,20181741,24,0.0,,,,,,2023-03-19 06:17:43
130496,913,20201488,24,0.0,,,,,,2023-03-19 06:17:57
130497,913,20201766,1,0.0,1.0,,,,,2023-03-19 06:18:13
130498,913,20192817,4,0.0,,,,,,2023-03-19 06:18:29
130499,913,20201039,24,0.0,,,,,,2023-03-19 06:18:41
130500,913,20203331,24,0.0,,,,,,2023-03-19 06:19:50
130501,913,20201771,24,0.0,,,,,,2023-03-19 06:20:04
130502,913,20192019,24,0.0,,,,,,2023-03-19 06:20:17
130503,913,20181387,14,0.0,,,,,,2023-03-19 06:20:36
130504,913,20200183,24,0.0,,,,,,2023-03-19 06:20:52
130505,913,20202298,2,3.0,,,35.0,4.0,RIDDEN,2023-03-19 06:21:14
130506,913,20191941,14,0.0,,,,,,2023-03-19 06:21:35
130507,913,20190444,15,0.0,,,,,,2023-03-19 06:21:50
130508,913,20191658,25,0.0,,,,,,2023-03-19 06:22:02
