Id,Name,CountryBredId,ColorId,IsEnabled,CreatedAt
19480130,TO MARKET,,8.0,1,2020-09-15 06:25:43
19480150,CRAFTY ADMIRAL,,1.0,1,2020-09-15 06:25:43
19480170,FAIR PLAY,,,1,2020-09-15 06:25:43
19480190,ANYOLDTIME,,1.0,1,2020-09-15 06:25:43
19480216,NYANGAL,,1.0,1,2020-09-15 06:25:43
19481475,PET BULLY,,,1,2020-09-15 06:25:43
19481975,ICEBERG II,,1.0,1,2020-09-15 06:25:43
19483015,BY FIVE,,8.0,1,2020-09-15 06:25:43
19483035,ROUGH 'N' TUMBLE,,1.0,1,2020-09-15 06:25:43
19483055,INTENT,,8.0,1,2020-09-15 06:25:43
19483075,BATTLEFIELD,,,1,2020-09-15 06:25:43
19485019,DELIRIUM,,,1,2020-09-15 06:25:43
19486016,MAMELUKE,,8.0,1,2020-09-15 06:25:43
19486056,HARD SAUCE,,1.0,1,2020-09-15 06:25:43
19486096,HAM BONE,,,1,2020-09-15 06:25:43
19486132,ROMAN PICTURE,,,1,2020-09-15 06:25:43
19486172,GOLD NOTE,,1.0,1,2020-09-15 06:25:43
19486394,WOODCHUCK,,,1,2020-09-15 06:25:43
19486490,BORDER LEGEND,,,1,2020-09-15 06:25:43
19486632,ROMMEL,,,1,2020-09-15 06:25:43
19490032,THE PHOENIX,,8.0,1,2020-09-15 06:25:43
19490052,INDIAN HEMP,,,1,2020-09-15 06:25:43
19490072,LORD PRIAM,,1.0,1,2020-09-15 06:25:43
19490092,HILL GAIL,,,1,2020-09-15 06:25:43
19490118,WINDY CITY 2ND,,,1,2020-09-15 06:25:43
19490138,TOM FOOL,,1.0,1,2020-09-15 06:25:43
19490352,COCK OF THE NORTH,,1.0,1,2020-09-15 06:25:43
19490390,RUSHWIND,,,1,2020-09-15 06:25:43
19490532,FAUBOURG II,,,1,2020-09-15 06:25:43
19490794,TULYAR,,,1,2020-09-15 06:25:43
19490810,AT FORTY,,,1,2020-09-15 06:25:43
19490870,MARK-YE-WELL,,1.0,1,2020-09-15 06:25:43
19490936,KING'S BENCH,,1.0,1,2020-09-15 06:25:43
19490976,SWIFT ABBEY,,,1,2020-09-15 06:25:43
19491915,SET FAIR,,,1,2020-09-15 06:25:43
19493013,JET ACE,,,1,2020-09-15 06:25:43
19493033,BAYBROOK,,1.0,1,2020-09-15 06:25:43
19500019,PRINCE DARE,,9.0,1,2020-09-15 06:25:43
19500059,MARCH PAST,,,1,2020-09-15 06:25:43
19500079,NATIVE DANCER,,9.0,1,2020-09-15 06:25:43
19500771,FINAL VERDICT,,,1,2020-09-15 06:25:43
19500817,BEAU GAR,,,1,2020-09-15 06:25:43
19500857,BUCK'N GEE,,,1,2020-09-15 06:25:43
19500897,KING OF THE TUDORS,,,1,2020-09-15 06:25:43
19501556,WHISTLER,,,1,2020-09-15 06:25:43
19501990,TROJAN MONARCH,,8.0,1,2020-09-15 06:25:43
19503010,WORDEN II,,1.0,1,2020-09-15 06:25:43
19503030,HEIR APPARENT,,,1,2020-09-15 06:25:43
19503050,CLONLEASON,,,1,2020-09-15 06:25:43
19503070,APPLE GRAND,,,1,2020-09-15 06:25:43
19503090,ACE DESTROYER,,,1,2020-09-15 06:25:43
19503116,REJECTED,,,1,2020-09-15 06:25:43
19503156,DARK STAR,,,1,2020-09-15 06:25:43
19503176,VILMORAY,,,1,2020-09-15 06:25:43
19503212,PREMONITION,,1.0,1,2020-09-15 06:25:43
19503232,MUSKET,,,1,2020-09-15 06:25:43
19510037,PORTERHOUSE,,8.0,1,2020-09-15 06:25:43
19510057,HASTY ROAD,,1.0,1,2020-09-15 06:25:43
19510077,ACTIVATE,,1.0,1,2020-09-15 06:25:43
19510097,KINGS BLOOD,,1.0,1,2020-09-15 06:25:43
19510113,ARI'S SETUP,,,1,2020-09-15 06:25:43
19510133,LOS CURROS,,8.0,1,2020-09-15 06:25:43
19510153,MATRICE,,,1,2020-09-15 06:25:43
19510173,BLUE PRINCE,,1.0,1,2020-09-15 06:25:43
19510193,SUMMA CUM,,,1,2020-09-15 06:25:43
19510219,TURN-TO,,1.0,1,2020-09-15 06:25:43
19510239,JET ACTION,,8.0,1,2020-09-15 06:25:43
19510259,CORRELATION,,1.0,1,2020-09-15 06:25:43
19510355,THE PIPER,,,1,2020-09-15 06:25:43
19510372,PRINCELY GIFT,,,1,2020-09-15 06:25:43
19510633,STAR GAZER,,,1,2020-09-15 06:25:43
19510895,HIGH TREASON,,,1,2020-09-15 06:25:43
19510911,CORONATION YEAR,,,1,2020-09-15 06:25:43
19510931,ZARATHUSTRA,,,1,2020-09-15 06:25:43
19510971,SICA BOY,,1.0,1,2020-09-15 06:25:43
19510991,AMBLER,,,1,2020-09-15 06:25:43
19511110,WINGED NEWS,,,1,2020-09-15 06:25:43
19511197,UMBERTO,,1.0,1,2020-09-15 06:25:43
19511332,ENTENTE CORDIALE,,,1,2020-09-15 06:25:43
19511594,GOOFUS,,,1,2020-09-15 06:25:43
19512154,RED HANNIGAN,,,1,2020-09-15 06:25:43
19513018,BLACK METAL,,1.0,1,2020-09-15 06:25:43
19513038,LIFE POLICY,,,1,2020-09-15 06:25:43
19513058,HOOK MONEY,,1.0,1,2020-09-15 06:25:43
19513078,NEVER SAY DIE,,,1,2020-09-15 06:25:43
