Id,HorseId,status,UserId,ChangedAt,CreatedAt
25,20151005,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
26,20161861,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
27,20113269,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
28,20152204,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
29,20111225,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
30,20103847,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
31,20141956,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
32,20152557,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
33,20162202,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
34,20162217,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
35,20120271,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:05
36,20152522,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:06
37,20153403,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:06
38,20151585,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:06
39,20171329,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:06
40,20162939,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:06
41,20160728,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:06
42,20162893,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:07
43,20170337,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:07
44,20123570,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:07
45,20150124,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:07
46,20140080,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:07
47,20160420,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:07
48,20133189,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:07
49,20160546,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:08
50,20151207,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:08
51,20131125,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:08
52,20153443,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:08
53,20150391,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:08
54,20134257,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:08
55,20151343,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:09
56,20150013,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:09
57,20140186,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:09
58,20122275,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:09
59,20111018,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:09
60,20142155,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:09
61,20123696,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:10
62,20152491,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:10
63,20162333,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:10
64,20143783,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:10
65,20150184,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:10
66,20140580,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:10
67,20162464,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:11
68,20142302,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:11
69,20152077,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:11
70,20170640,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:11
71,20131443,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:11
72,20153483,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:11
73,20142600,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:12
74,20151383,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:12
75,20120195,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:12
76,20142039,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:12
77,20132637,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:12
78,20162439,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:12
79,20161912,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:12
