Id,HorseId,VaccinationCertificateNumber,VaccinationBatchNumber,comment,VetId,VaccinatedAt,CreatedAt
260392,20191916,,,,38,2023-02-05,2024-07-31 12:23:04
260393,20180739,,,,38,2024-04-22,2024-07-31 12:23:04
260394,20190808,,,,38,2023-12-24,2024-07-31 12:23:04
260395,20151525,,,,38,2023-01-01,2024-07-31 12:23:05
260396,20210616,,,,38,2024-04-24,2024-07-31 12:23:05
260397,20172326,,,,38,2023-11-13,2024-07-31 12:23:05
260398,20201695,,,,38,2024-04-07,2024-07-31 12:23:05
260399,20202516,,,,38,2024-04-20,2024-07-31 12:23:05
260400,20142231,,,,38,2023-05-26,2024-07-31 12:23:05
260401,20201731,,,,38,2024-05-02,2024-07-31 12:23:05
260402,20201377,,,,38,2024-06-06,2024-07-31 12:23:06
260403,20191476,,,,38,2022-10-07,2024-07-31 12:23:06
260404,20212312,,,,38,2024-06-30,2024-07-31 12:23:06
260405,20180042,,,,38,2023-01-27,2024-07-31 12:23:06
260406,20132662,,,,38,2023-10-25,2024-07-31 12:23:06
260407,20172391,,,,38,2024-06-09,2024-07-31 12:23:06
260408,20180486,,,,38,2023-10-03,2024-07-31 12:23:06
260409,20202561,,,,38,2023-10-13,2024-07-31 12:23:07
260410,20211971,,,,38,2024-06-09,2024-07-31 12:23:07
260411,20212185,,,,38,2024-04-24,2024-07-31 12:23:07
260412,20182884,,,,38,2022-10-03,2024-07-31 12:23:07
260413,20180057,,,,38,2023-09-29,2024-07-31 12:23:07
260414,20172866,,,,38,2023-01-17,2024-07-31 12:23:07
260415,20211633,,,,38,2024-04-24,2024-07-31 12:23:07
260416,20203391,,,,38,2024-06-02,2024-07-31 12:23:07
260417,20210530,,,,38,2024-04-07,2024-07-31 12:23:08
260418,20201771,,,,38,2024-06-02,2024-07-31 12:23:08
260419,20181781,,,,38,2023-07-02,2024-07-31 12:23:08
260420,20210636,,,,38,2024-04-07,2024-07-31 12:23:08
260421,20150457,,,,38,2023-10-04,2024-07-31 12:23:08
260422,20201655,,,,38,2023-03-04,2024-07-31 12:23:08
260423,20210474,,,,38,2024-04-07,2024-07-31 12:23:08
260424,20190277,,,,38,2024-05-05,2024-07-31 12:23:09
260425,20211299,,,,38,2024-04-07,2024-07-31 12:23:09
260426,20210792,,,,38,2024-04-07,2024-07-31 12:23:09
260427,20202945,,,,38,2024-05-05,2024-07-31 12:23:09
260428,20181069,,,,38,2023-03-04,2024-07-31 12:23:09
260429,20181509,,,,38,2024-01-06,2024-07-31 12:23:09
260430,20191981,,,,38,2023-01-27,2024-07-31 12:23:09
260431,20191254,,,,38,2024-05-05,2024-07-31 12:23:10
260432,20201660,,,,38,2024-06-02,2024-07-31 12:23:10
260433,20182839,,,,38,2022-11-05,2024-07-31 12:23:10
260434,20200976,,,,38,2024-05-05,2024-07-31 12:23:10
260435,20190060,,,,38,2023-01-27,2024-07-31 12:23:10
260436,20212701,,,,38,2024-06-02,2024-07-31 12:23:10
260437,20192933,,,,38,2024-05-05,2024-07-31 12:23:10
260438,20203104,,,,38,2024-06-02,2024-07-31 12:23:10
260439,20210585,,,,38,2024-04-07,2024-07-31 12:23:11
260440,20192600,,,,38,2023-07-02,2024-07-31 12:23:11
260441,20181741,,,,38,2024-02-04,2024-07-31 12:23:11
260442,20200941,,,,38,2024-02-04,2024-07-31 12:23:11
260443,20182091,,,,38,2024-02-04,2024-07-31 12:23:11
260444,20210363,,,,38,2024-04-07,2024-07-31 12:23:11
